         x,          y,          M,          tht
0.0000000000e+00,1.0000000000e+00,1.1532900000e+00,-4.9711148980e-05
3.9963996400e-02,9.5000000000e-01,1.1532737021e+00,1.1994414305e-02
7.8247824782e-02,9.0000000000e-01,1.1532182175e+00,2.1145362763e-02
1.1473147315e-01,8.5000000000e-01,1.1532375255e+00,2.7966124788e-02
1.4917491749e-01,8.0000000000e-01,1.1532576582e+00,3.2808426212e-02
1.8145814581e-01,7.5000000000e-01,1.1532648454e+00,3.5998873657e-02
2.1146114611e-01,7.0000000000e-01,1.1532074709e+00,3.7795524989e-02
2.3930393039e-01,6.5000000000e-01,1.1532012541e+00,3.8477565929e-02
2.6498649865e-01,6.0000000000e-01,1.1532393590e+00,3.8228179040e-02
2.8838883888e-01,5.5000000000e-01,1.1532179165e+00,3.7170159768e-02
3.0963096310e-01,5.0000000000e-01,1.1532093208e+00,3.5459600229e-02
3.2883288329e-01,4.5000000000e-01,1.1532777388e+00,3.3221232780e-02
3.4575457546e-01,4.0000000000e-01,1.1532262569e+00,3.0498550194e-02
3.6075607561e-01,3.5000000000e-01,1.1532888536e+00,2.7423668622e-02
3.7359735974e-01,3.0000000000e-01,1.1532762919e+00,2.4024368097e-02
3.8439843984e-01,2.5000000000e-01,1.1532537623e+00,2.0373881313e-02
3.9327932793e-01,2.0000000000e-01,1.1532882910e+00,1.6531307904e-02
4.0012001200e-01,1.5000000000e-01,1.1532819113e+00,1.2531006971e-02
4.0492049205e-01,1.0000000000e-01,1.1532251463e+00,8.4186384122e-03
4.0792079208e-01,5.0000000000e-02,1.1532706928e+00,4.2470317778e-03
4.0888088809e-01,0.0000000000e+00,1.1532236291e+00,3.8765321186e-04
